TimePeriod,,GeoID,GeoRank,Geography,10th percentile ppb,90th percentile ppb,Mean,Indicator,IndicatorID
Annual Average 2022,,408,4,Jamaica,13.6,16.9,14.9,NO2,375
Annual Average 2022,,409,4,Southeast Queens,13.3,15,14.1,NO2,375
Annual Average 2022,,410,4,Rockaways,10.4,12.3,11.4,NO2,375
Annual Average 2022,,501,4,Port Richmond,12.7,14.3,13.5,NO2,375
Annual Average 2022,,502,4,Stapleton - St. George,11.6,14.3,13.1,NO2,375
Annual Average 2022,,503,4,Willowbrook,10.3,14,11.9,NO2,375
Annual Average 2022,,504,4,South Beach - Tottenville,7.7,11.2,9.5,NO2,375
Annual Average 2022,,101,3,Kingsbridge - Riverdale,13.3,16.4,14.5,NO2,375
Annual Average 2022,,102,3,Northeast Bronx,14.6,16.6,15.4,NO2,375
Annual Average 2022,,103,3,Fordham - Bronx Pk,14.3,16.3,15.3,NO2,375
Annual Average 2022,,104,3,Pelham - Throgs Neck,14.1,17.5,15.8,NO2,375
Annual Average 2022,,201,3,Greenpoint,17.1,19.7,18.4,NO2,375
Annual Average 2022,,202,3,Downtown - Heights - Slope,15.9,20.1,18,NO2,375
Annual Average 2022,,203,3,Bedford Stuyvesant - Crown Heights,15.3,17.2,16.2,NO2,375
Annual Average 2022,,204,3,East New York,14,17.3,15.6,NO2,375
Annual Average 2022,,205,3,Sunset Park,14.2,20.9,17.3,NO2,375
Annual Average 2022,,206,3,Borough Park,14.2,15.9,15,NO2,375
Annual Average 2022,,207,3,East Flatbush - Flatbush,14.1,15.9,15,NO2,375
Annual Average 2022,,208,3,Canarsie - Flatlands,11.3,15.7,13.4,NO2,375
Annual Average 2022,,209,3,Bensonhurst - Bay Ridge,13.1,16.4,14.4,NO2,375
Annual Average 2022,,210,3,Coney Island - Sheepshead Bay,11.9,14,13.1,NO2,375
Annual Average 2022,,211,3,Williamsburg - Bushwick,15.6,19.7,17.4,NO2,375
Annual Average 2022,,301,3,Washington Heights,14.6,21.3,16.9,NO2,375
Annual Average 2022,,302,3,Central Harlem - Morningside Heights,16.4,17.5,16.9,NO2,375
Annual Average 2022,,303,3,East Harlem,15.9,17.3,16.7,NO2,375
Annual Average 2022,,304,3,Upper West Side,17,19.6,18.2,NO2,375
Annual Average 2022,,401,3,Long Island City - Astoria,15.6,19.5,17.4,NO2,375
Annual Average 2022,,402,3,West Queens,15.2,19.7,16.9,NO2,375
Annual Average 2022,,403,3,Flushing - Clearview,14.1,16.4,15.2,NO2,375
Annual Average 2022,,405,3,Ridgewood - Forest Hills,13.6,16.9,15.2,NO2,375
Annual Average 2022,,407,3,Southwest Queens,12.9,15.7,14.3,NO2,375
Annual Average 2022,,408,3,Jamaica,13.6,16.9,14.9,NO2,375
Annual Average 2022,,409,3,Southeast Queens,13.3,15,14.1,NO2,375
