TimePeriod,,GeoID,GeoRank,Geography,10th percentile mcg/m3,90th percentile mcg/m3,Mean,Indicator,IndicatorID
Summer 2020,,401,3,Long Island City - Astoria,7.3,8.5,7.8,PM 2.5,365
Summer 2020,,402,3,West Queens,6.9,8.2,7.4,PM 2.5,365
Summer 2020,,403,3,Flushing - Clearview,6.7,7.6,7,PM 2.5,365
Summer 2020,,405,3,Ridgewood - Forest Hills,6.7,7.2,6.9,PM 2.5,365
Summer 2020,,407,3,Southwest Queens,6.5,6.9,6.7,PM 2.5,365
Summer 2020,,408,3,Jamaica,6.6,7,6.7,PM 2.5,365
Summer 2020,,409,3,Southeast Queens,6.4,6.7,6.6,PM 2.5,365
Summer 2020,,410,3,Rockaways,6.2,6.4,6.3,PM 2.5,365
Summer 2020,,305307,3,Upper East Side-Gramercy,7.3,9,7.9,PM 2.5,365
Summer 2020,,306308,3,Chelsea-Village  ,7.8,9.5,8.6,PM 2.5,365
Summer 2020,,309310,3,Union Square-Lower Manhattan,7.3,9.1,8,PM 2.5,365
Summer 2020,,404406,3,Bayside Little Neck-Fresh Meadows,6.6,6.8,6.7,PM 2.5,365
Summer 2020,,501502,3,Northern SI,6.5,7,6.7,PM 2.5,365
Summer 2020,,503504,3,Southern SI,6.3,6.8,6.6,PM 2.5,365
Summer 2020,,105106107,3,South Bronx,7.1,7.9,7.4,PM 2.5,365
Summer 2020,,1,1,Bronx,7,7.5,7.2,PM 2.5,365
Summer 2020,,2,1,Brooklyn,6.5,7.6,6.9,PM 2.5,365
Summer 2020,,3,1,Manhattan,7.2,9,7.8,PM 2.5,365
Summer 2020,,4,1,Queens,6.5,7.5,6.9,PM 2.5,365
Summer 2020,,5,1,Staten Island,6.4,6.9,6.6,PM 2.5,365
Summer 2020,,1,0,New York City,6.4,7.6,7,PM 2.5,365
Winter 2019,20,101,6,Financial District (CD1),9.3,10.7,10,PM 2.5,365
Winter 2019,20,102,6,Greenwich Village and Soho (CD2),10.4,12.8,11.5,PM 2.5,365
Winter 2019,20,103,6,Lower East Side and Chinatown (CD3),8.3,12,9.9,PM 2.5,365
Winter 2019,20,104,6,Clinton and Chelsea (CD4),9.1,12.3,10.6,PM 2.5,365
Winter 2019,20,105,6,Midtown (CD5),11.2,13.5,12.6,PM 2.5,365
Winter 2019,20,106,6,Stuyvesant Town and Turtle Bay (CD6),9.3,11.9,10.4,PM 2.5,365
Winter 2019,20,107,6,Upper West Side (CD7),7.4,8.4,7.9,PM 2.5,365
Winter 2019,20,108,6,Upper East Side (CD8),7.9,9.5,8.6,PM 2.5,365
Winter 2019,20,109,6,Morningside Heights and Hamilton Heights (CD9),7.3,7.6,7.5,PM 2.5,365
Winter 2019,20,110,6,Central Harlem (CD10),7.3,7.7,7.5,PM 2.5,365
Winter 2019,20,111,6,East Harlem (CD11),7.6,8,7.8,PM 2.5,365
Winter 2019,20,112,6,Washington Heights and Inwood (CD12),6.5,9,7.3,PM 2.5,365
Winter 2019,20,201,6,Mott Haven and Melrose (CD1),6.8,7.7,7.2,PM 2.5,365
Winter 2019,20,202,6,Hunts Point and Longwood (CD2),7,8,7.5,PM 2.5,365
Winter 2019,20,203,6,Morrisania and Crotona (CD3),7,7.6,7.2,PM 2.5,365
Winter 2019,20,204,6,Highbridge and Concourse (CD4),6.7,7.8,7.1,PM 2.5,365
Winter 2019,20,205,6,Fordham and University Heights (CD5),6.6,7.9,7.2,PM 2.5,365
Winter 2019,20,206,6,Belmont and East Tremont (CD6),7,8,7.4,PM 2.5,365
Winter 2019,20,207,6,Kingsbridge Heights and Bedford (CD7),6.4,7.4,6.8,PM 2.5,365
Winter 2019,20,208,6,Riverdale and Fieldston (CD8),5.9,7.1,6.3,PM 2.5,365
Winter 2019,20,209,6,Parkchester and Soundview (CD9),6.9,8.2,7.4,PM 2.5,365
Winter 2019,20,210,6,Throgs Neck and Co-op City (CD10),6.8,7.7,7.3,PM 2.5,365
Winter 2019,20,211,6,Morris Park and Bronxdale (CD11),6.6,7.1,6.8,PM 2.5,365
Winter 2019,20,212,6,Williamsbridge and Baychester (CD12),6.2,7,6.5,PM 2.5,365
Winter 2019,20,301,6,Greenpoint and Williamsburg (CD1),8.2,9,8.6,PM 2.5,365
Winter 2019,20,302,6,Fort Greene and Brooklyn Heights (CD2),8,9.3,8.7,PM 2.5,365
Winter 2019,20,303,6,Bedford Stuyvesant (CD3),7.7,8.3,8,PM 2.5,365
Winter 2019,20,304,6,Bushwick (CD4),7.5,8.7,8.1,PM 2.5,365
Winter 2019,20,305,6,East New York and Starrett City (CD5),7,7.6,7.3,PM 2.5,365
Winter 2019,20,306,6,Park Slope and Carroll Gardens (CD6),7.7,9,8.5,PM 2.5,365
Winter 2019,20,307,6,Sunset Park (CD7),7.4,8.9,8.2,PM 2.5,365
Winter 2019,20,308,6,Crown Heights and Prospect Heights (CD8),7.6,8.5,8,PM 2.5,365
Winter 2019,20,309,6,South Crown Heights and Lefferts Gardens (CD9),7.4,7.9,7.7,PM 2.5,365
Winter 2019,20,310,6,Bay Ridge and Dyker Heights (CD10),7.2,8.5,7.8,PM 2.5,365
Winter 2019,20,311,6,Bensonhurst (CD11),7.1,7.5,7.3,PM 2.5,365
Winter 2019,20,312,6,Borough Park (CD12),7.2,7.9,7.5,PM 2.5,365
Winter 2019,20,313,6,Coney Island (CD13),6.7,7.2,7,PM 2.5,365
Winter 2019,20,314,6,Flatbush and Midwood (CD14),7,7.8,7.4,PM 2.5,365
Winter 2019,20,315,6,Sheepshead Bay (CD15),6.6,7.4,7,PM 2.5,365
Winter 2019,20,316,6,Brownsville (CD16),7.3,7.7,7.5,PM 2.5,365
Winter 2019,20,317,6,East Flatbush (CD17),7.2,7.7,7.4,PM 2.5,365
Winter 2019,20,318,6,Flatlands and Canarsie (CD18),6.4,7.3,6.8,PM 2.5,365
Winter 2019,20,401,6,Long Island City and Astoria (CD1),6.9,8.8,7.9,PM 2.5,365
Winter 2019,20,402,6,Woodside and Sunnyside (CD2),8,8.8,8.4,PM 2.5,365
Winter 2019,20,403,6,Jackson Heights (CD3),7.6,8.8,8.1,PM 2.5,365
Winter 2019,20,404,6,Elmhurst and Corona (CD4),7.9,8.8,8.4,PM 2.5,365
Winter 2019,20,405,6,Ridgewood and Maspeth (CD5),7.3,8.4,7.7,PM 2.5,365
Winter 2019,20,406,6,Rego Park and Forest Hills (CD6),7.6,8.3,7.9,PM 2.5,365
Winter 2019,20,407,6,Flushing and Whitestone (CD7),7.3,8.8,7.9,PM 2.5,365
Winter 2019,20,408,6,Hillcrest and Fresh Meadows (CD8),7.4,8.1,7.7,PM 2.5,365
Winter 2019,20,409,6,Kew Gardens and Woodhaven (CD9),7.4,8.1,7.7,PM 2.5,365
Winter 2019,20,410,6,South Ozone Park and Howard Beach (CD10),6.8,7.5,7.2,PM 2.5,365
Winter 2019,20,411,6,Bayside and Little Neck (CD11),7.3,8.1,7.6,PM 2.5,365
Winter 2019,20,412,6,Jamaica and Hollis (CD12),7.1,8,7.4,PM 2.5,365
Winter 2019,20,413,6,Queens Village (CD13),6.7,7.5,7.2,PM 2.5,365
Winter 2019,20,414,6,Rockaway and Broad Channel (CD14),5.9,6.3,6.1,PM 2.5,365
Winter 2019,20,501,6,St. George and Stapleton (CD1),7.2,7.7,7.4,PM 2.5,365
Winter 2019,20,502,6,South Beach and Willowbrook (CD2),6.6,7.2,6.9,PM 2.5,365
Winter 2019,20,503,6,Tottenville and Great Kills (CD3),5.3,6.4,6,PM 2.5,365
Winter 2019,20,101,4,Kingsbridge - Riverdale,5.9,7.4,6.4,PM 2.5,365
Winter 2019,20,102,4,Northeast Bronx,6.3,7.2,6.7,PM 2.5,365
Winter 2019,20,103,4,Fordham - Bronx Pk,6.3,7.2,6.7,PM 2.5,365
Winter 2019,20,104,4,Pelham - Throgs Neck,6.8,7.8,7.3,PM 2.5,365
Winter 2019,20,105,4,Crotona -Tremont,6.8,8.1,7.4,PM 2.5,365
Winter 2019,20,106,4,High Bridge - Morrisania,6.7,7.7,7.1,PM 2.5,365
Winter 2019,20,107,4,Hunts Point - Mott Haven,6.9,7.8,7.3,PM 2.5,365
Winter 2019,20,201,4,Greenpoint,8.2,9.2,8.6,PM 2.5,365
Winter 2019,20,202,4,Downtown - Heights - Slope,7.8,9.2,8.6,PM 2.5,365
Winter 2019,20,203,4,Bedford Stuyvesant - Crown Heights,7.4,8.4,7.8,PM 2.5,365
Winter 2019,20,204,4,East New York,7.2,7.6,7.4,PM 2.5,365
Winter 2019,20,205,4,Sunset Park,7.4,8.9,8.2,PM 2.5,365
Winter 2019,20,206,4,Borough Park,7.2,7.8,7.5,PM 2.5,365
Winter 2019,20,207,4,East Flatbush - Flatbush,7.1,7.8,7.5,PM 2.5,365
Winter 2019,20,208,4,Canarsie - Flatlands,6.4,7.3,6.8,PM 2.5,365
Winter 2019,20,209,4,Bensonhurst - Bay Ridge,7,8.3,7.6,PM 2.5,365
Winter 2019,20,210,4,Coney Island - Sheepshead Bay,6.6,7.3,7,PM 2.5,365
Winter 2019,20,211,4,Williamsburg - Bushwick,7.8,8.8,8.3,PM 2.5,365
Winter 2019,20,301,4,Washington Heights,6.6,8.6,7.3,PM 2.5,365
Winter 2019,20,302,4,Central Harlem - Morningside Heights,7.4,7.7,7.6,PM 2.5,365
Winter 2019,20,303,4,East Harlem,7.6,8,7.8,PM 2.5,365
Winter 2019,20,304,4,Upper West Side,7.4,8.4,7.9,PM 2.5,365
Winter 2019,20,305,4,Upper East Side,7.9,9.4,8.6,PM 2.5,365
Winter 2019,20,306,4,Chelsea - Clinton,9.4,13.2,11.4,PM 2.5,365
Winter 2019,20,307,4,Gramercy Park - Murray Hill,9.5,12.9,11,PM 2.5,365
Winter 2019,20,308,4,Greenwich Village - SoHo,10.2,12.1,11,PM 2.5,365
Winter 2019,20,309,4,Union Square - Lower East Side,8.4,12.7,10.3,PM 2.5,365
Winter 2019,20,310,4,Lower Manhattan,9.2,10.5,9.9,PM 2.5,365
Winter 2019,20,401,4,Long Island City - Astoria,7.6,8.8,8.3,PM 2.5,365
Winter 2019,20,402,4,West Queens,7.7,8.8,8.2,PM 2.5,365
Winter 2019,20,403,4,Flushing - Clearview,7.3,8.8,7.8,PM 2.5,365
Winter 2019,20,404,4,Bayside - Little Neck,7.2,8.2,7.6,PM 2.5,365
Winter 2019,20,405,4,Ridgewood - Forest Hills,7.3,8.2,7.7,PM 2.5,365
Winter 2019,20,406,4,Fresh Meadows,7.4,8,7.6,PM 2.5,365
Winter 2019,20,407,4,Southwest Queens,6.9,7.8,7.4,PM 2.5,365
Winter 2019,20,408,4,Jamaica,7.1,8.1,7.4,PM 2.5,365
Winter 2019,20,409,4,Southeast Queens,6.8,7.5,7.2,PM 2.5,365
Winter 2019,20,410,4,Rockaways,6,6.4,6.1,PM 2.5,365
Winter 2019,20,501,4,Port Richmond,7.2,7.7,7.4,PM 2.5,365
Winter 2019,20,502,4,Stapleton - St. George,6.9,7.6,7.2,PM 2.5,365
Winter 2019,20,503,4,Willowbrook,6.6,7.5,7,PM 2.5,365
Winter 2019,20,504,4,South Beach - Tottenville,5.3,6.6,6,PM 2.5,365
Winter 2019,20,101,3,Kingsbridge - Riverdale,5.9,7.4,6.4,PM 2.5,365
Winter 2019,20,102,3,Northeast Bronx,6.3,7.2,6.7,PM 2.5,365
Winter 2019,20,103,3,Fordham - Bronx Pk,6.3,7.2,6.7,PM 2.5,365
Winter 2019,20,104,3,Pelham - Throgs Neck,6.8,7.8,7.3,PM 2.5,365
Winter 2019,20,201,3,Greenpoint,8.2,9.2,8.6,PM 2.5,365
Winter 2019,20,202,3,Downtown - Heights - Slope,7.8,9.2,8.6,PM 2.5,365
Winter 2019,20,203,3,Bedford Stuyvesant - Crown Heights,7.4,8.4,7.8,PM 2.5,365
Winter 2019,20,204,3,East New York,7.2,7.6,7.4,PM 2.5,365
Winter 2019,20,205,3,Sunset Park,7.4,8.9,8.2,PM 2.5,365
Winter 2019,20,206,3,Borough Park,7.2,7.8,7.5,PM 2.5,365
Winter 2019,20,207,3,East Flatbush - Flatbush,7.1,7.8,7.5,PM 2.5,365
Winter 2019,20,208,3,Canarsie - Flatlands,6.4,7.3,6.8,PM 2.5,365
Winter 2019,20,209,3,Bensonhurst - Bay Ridge,7,8.3,7.6,PM 2.5,365
Winter 2019,20,210,3,Coney Island - Sheepshead Bay,6.6,7.3,7,PM 2.5,365
Winter 2019,20,211,3,Williamsburg - Bushwick,7.8,8.8,8.3,PM 2.5,365
Winter 2019,20,301,3,Washington Heights,6.6,8.6,7.3,PM 2.5,365
Winter 2019,20,302,3,Central Harlem - Morningside Heights,7.4,7.7,7.6,PM 2.5,365
Winter 2019,20,303,3,East Harlem,7.6,8,7.8,PM 2.5,365
Winter 2019,20,304,3,Upper West Side,7.4,8.4,7.9,PM 2.5,365
Winter 2019,20,401,3,Long Island City - Astoria,7.6,8.8,8.3,PM 2.5,365
Winter 2019,20,402,3,West Queens,7.7,8.8,8.2,PM 2.5,365
Winter 2019,20,403,3,Flushing - Clearview,7.3,8.8,7.8,PM 2.5,365
Winter 2019,20,405,3,Ridgewood - Forest Hills,7.3,8.2,7.7,PM 2.5,365
Winter 2019,20,407,3,Southwest Queens,6.9,7.8,7.4,PM 2.5,365
Winter 2019,20,408,3,Jamaica,7.1,8.1,7.4,PM 2.5,365
Winter 2019,20,409,3,Southeast Queens,6.8,7.5,7.2,PM 2.5,365
Winter 2019,20,410,3,Rockaways,6,6.4,6.1,PM 2.5,365
Winter 2019,20,305307,3,Upper East Side-Gramercy,8.1,12.2,9.7,PM 2.5,365
Winter 2019,20,306308,3,Chelsea-Village  ,9.6,13,11.3,PM 2.5,365
Winter 2019,20,309310,3,Union Square-Lower Manhattan,8.6,12.4,10.2,PM 2.5,365
Winter 2019,20,404406,3,Bayside Little Neck-Fresh Meadows,7.3,8.1,7.6,PM 2.5,365
Winter 2019,20,501502,3,Northern SI,6.9,7.6,7.3,PM 2.5,365
Winter 2019,20,503504,3,Southern SI,5.5,7.1,6.4,PM 2.5,365
Winter 2019,20,105106107,3,South Bronx,6.8,7.9,7.3,PM 2.5,365
Winter 2019,20,1,1,Bronx,6.3,7.7,7,PM 2.5,365
Winter 2019,20,2,1,Brooklyn,6.8,8.6,7.6,PM 2.5,365
Winter 2019,20,3,1,Manhattan,7.2,12.1,9.1,PM 2.5,365
Winter 2019,20,4,1,Queens,6.8,8.4,7.6,PM 2.5,365
Winter 2019,20,5,1,Staten Island,5.7,7.5,6.7,PM 2.5,365
Winter 2019,20,1,0,New York City,6.3,8.5,7.4,PM 2.5,365
Annual Average 2019,,101,6,Financial District (CD1),7.6,9.3,8.4,PM 2.5,365
Annual Average 2019,,102,6,Greenwich Village and Soho (CD2),9,10.8,9.9,PM 2.5,365
Annual Average 2019,,103,6,Lower East Side and Chinatown (CD3),7.2,10.3,8.7,PM 2.5,365
Annual Average 2019,,104,6,Clinton and Chelsea (CD4),8,10.7,9.3,PM 2.5,365
Annual Average 2019,,105,6,Midtown (CD5),10.4,12.8,11.5,PM 2.5,365
Annual Average 2019,,106,6,Stuyvesant Town and Turtle Bay (CD6),8,10.7,9.4,PM 2.5,365
Annual Average 2019,,107,6,Upper West Side (CD7),7,7.7,7.4,PM 2.5,365
Annual Average 2019,,108,6,Upper East Side (CD8),7.4,8.7,8,PM 2.5,365
Annual Average 2019,,109,6,Morningside Heights and Hamilton Heights (CD9),6.8,7.1,6.9,PM 2.5,365
Annual Average 2019,,110,6,Central Harlem (CD10),6.8,7.2,7,PM 2.5,365
Annual Average 2019,,111,6,East Harlem (CD11),6.9,7.4,7.1,PM 2.5,365
Annual Average 2019,,112,6,Washington Heights and Inwood (CD12),6.7,8.4,7.2,PM 2.5,365
Annual Average 2019,,201,6,Mott Haven and Melrose (CD1),7,8.6,7.7,PM 2.5,365
Annual Average 2019,,202,6,Hunts Point and Longwood (CD2),6.7,9.1,7.8,PM 2.5,365
Annual Average 2019,,203,6,Morrisania and Crotona (CD3),6.6,7.3,6.9,PM 2.5,365
Annual Average 2019,,204,6,Highbridge and Concourse (CD4),6.9,7.8,7.2,PM 2.5,365
Annual Average 2019,,205,6,Fordham and University Heights (CD5),6.8,7.9,7.3,PM 2.5,365
Annual Average 2019,,206,6,Belmont and East Tremont (CD6),6.8,7.6,7.2,PM 2.5,365
Annual Average 2019,,207,6,Kingsbridge Heights and Bedford (CD7),6.5,7.4,6.8,PM 2.5,365
Annual Average 2019,,208,6,Riverdale and Fieldston (CD8),6.4,7.2,6.7,PM 2.5,365
Annual Average 2019,,209,6,Parkchester and Soundview (CD9),6.2,7.4,6.8,PM 2.5,365
Annual Average 2019,,210,6,Throgs Neck and Co-op City (CD10),6.2,7.2,6.7,PM 2.5,365
Annual Average 2019,,211,6,Morris Park and Bronxdale (CD11),6.4,6.9,6.6,PM 2.5,365
Annual Average 2019,,212,6,Williamsbridge and Baychester (CD12),6.4,7,6.7,PM 2.5,365
Annual Average 2019,,301,6,Greenpoint and Williamsburg (CD1),7.3,10.2,8.6,PM 2.5,365
Annual Average 2019,,302,6,Fort Greene and Brooklyn Heights (CD2),6.8,7.6,7.2,PM 2.5,365
Annual Average 2019,,303,6,Bedford Stuyvesant (CD3),6.2,7.1,6.6,PM 2.5,365
Annual Average 2019,,304,6,Bushwick (CD4),6.4,8.3,7.1,PM 2.5,365
Annual Average 2019,,305,6,East New York and Starrett City (CD5),6.1,7,6.5,PM 2.5,365
Annual Average 2019,,306,6,Park Slope and Carroll Gardens (CD6),6.9,8.5,7.7,PM 2.5,365
Annual Average 2019,,307,6,Sunset Park (CD7),6.3,8.5,7.4,PM 2.5,365
Annual Average 2019,,308,6,Crown Heights and Prospect Heights (CD8),6.3,7.1,6.7,PM 2.5,365
Annual Average 2019,,309,6,South Crown Heights and Lefferts Gardens (CD9),6.2,6.5,6.3,PM 2.5,365
Annual Average 2019,,310,6,Bay Ridge and Dyker Heights (CD10),5.9,6.9,6.4,PM 2.5,365
Annual Average 2019,,311,6,Bensonhurst (CD11),6,6.3,6.2,PM 2.5,365
Annual Average 2019,,312,6,Borough Park (CD12),6.2,6.6,6.4,PM 2.5,365
Annual Average 2019,,313,6,Coney Island (CD13),5.7,6.2,6,PM 2.5,365
Annual Average 2019,,314,6,Flatbush and Midwood (CD14),6,6.4,6.2,PM 2.5,365
Annual Average 2019,,315,6,Sheepshead Bay (CD15),5.8,6.3,6.1,PM 2.5,365
Annual Average 2019,,316,6,Brownsville (CD16),6.2,7.3,6.6,PM 2.5,365
Annual Average 2019,,317,6,East Flatbush (CD17),6.2,6.8,6.4,PM 2.5,365
Annual Average 2019,,318,6,Flatlands and Canarsie (CD18),5.7,6.8,6.1,PM 2.5,365
Annual Average 2019,,401,6,Long Island City and Astoria (CD1),6.2,7.9,7.2,PM 2.5,365
Annual Average 2019,,402,6,Woodside and Sunnyside (CD2),7.2,9.9,8.4,PM 2.5,365
Annual Average 2019,,403,6,Jackson Heights (CD3),6.3,7,6.6,PM 2.5,365
Annual Average 2019,,404,6,Elmhurst and Corona (CD4),6.5,7.1,6.8,PM 2.5,365
Annual Average 2019,,405,6,Ridgewood and Maspeth (CD5),6.1,8.9,7,PM 2.5,365
Annual Average 2019,,406,6,Rego Park and Forest Hills (CD6),6.2,6.8,6.5,PM 2.5,365
Annual Average 2019,,407,6,Flushing and Whitestone (CD7),6,7.7,6.6,PM 2.5,365
Annual Average 2019,,408,6,Hillcrest and Fresh Meadows (CD8),6,6.5,6.2,PM 2.5,365
Annual Average 2019,,409,6,Kew Gardens and Woodhaven (CD9),6.1,6.7,6.4,PM 2.5,365
Annual Average 2019,,410,6,South Ozone Park and Howard Beach (CD10),5.8,6.3,6,PM 2.5,365
Annual Average 2019,,411,6,Bayside and Little Neck (CD11),5.9,6.5,6.2,PM 2.5,365
Annual Average 2019,,412,6,Jamaica and Hollis (CD12),5.9,6.8,6.2,PM 2.5,365
Annual Average 2019,,413,6,Queens Village (CD13),5.8,6.4,6,PM 2.5,365
Annual Average 2019,,414,6,Rockaway and Broad Channel (CD14),5.5,5.7,5.6,PM 2.5,365
Annual Average 2019,,501,6,St. George and Stapleton (CD1),5.8,6.6,6.1,PM 2.5,365
Annual Average 2019,,502,6,South Beach and Willowbrook (CD2),5.6,6.3,5.9,PM 2.5,365
Annual Average 2019,,503,6,Tottenville and Great Kills (CD3),5.4,6.2,5.8,PM 2.5,365
Annual Average 2019,,101,4,Kingsbridge - Riverdale,6.4,7.4,6.7,PM 2.5,365
Annual Average 2019,,102,4,Northeast Bronx,6.4,7.1,6.7,PM 2.5,365
Annual Average 2019,,103,4,Fordham - Bronx Pk,6.5,7,6.7,PM 2.5,365
Annual Average 2019,,104,4,Pelham - Throgs Neck,6.2,7.2,6.7,PM 2.5,365
Annual Average 2019,,105,4,Crotona -Tremont,6.8,7.8,7.2,PM 2.5,365
Annual Average 2019,,106,4,High Bridge - Morrisania,6.8,7.7,7.1,PM 2.5,365
Annual Average 2019,,107,4,Hunts Point - Mott Haven,6,8.9,7.5,PM 2.5,365
Annual Average 2019,,201,4,Greenpoint,7.4,9.9,8.6,PM 2.5,365
Annual Average 2019,,202,4,Downtown - Heights - Slope,6.8,8.2,7.4,PM 2.5,365
Annual Average 2019,,203,4,Bedford Stuyvesant - Crown Heights,6.2,7.1,6.6,PM 2.5,365
Annual Average 2019,,204,4,East New York,6.2,7,6.6,PM 2.5,365
Annual Average 2019,,205,4,Sunset Park,6.3,8.4,7.3,PM 2.5,365
Annual Average 2019,,206,4,Borough Park,6.1,6.5,6.3,PM 2.5,365
Annual Average 2019,,207,4,East Flatbush - Flatbush,6.1,6.5,6.3,PM 2.5,365
Annual Average 2019,,208,4,Canarsie - Flatlands,5.7,6.9,6.2,PM 2.5,365
Annual Average 2019,,209,4,Bensonhurst - Bay Ridge,5.9,6.6,6.2,PM 2.5,365
Annual Average 2019,,210,4,Coney Island - Sheepshead Bay,5.7,6.3,6,PM 2.5,365
Annual Average 2019,,211,4,Williamsburg - Bushwick,6.3,9.6,7.5,PM 2.5,365
Annual Average 2019,,301,4,Washington Heights,6.7,8.1,7.1,PM 2.5,365
Annual Average 2019,,302,4,Central Harlem - Morningside Heights,6.8,7.2,7,PM 2.5,365
Annual Average 2019,,303,4,East Harlem,6.9,7.4,7.1,PM 2.5,365
Annual Average 2019,,304,4,Upper West Side,7,7.7,7.4,PM 2.5,365
Annual Average 2019,,305,4,Upper East Side,7.4,8.6,8,PM 2.5,365
Annual Average 2019,,306,4,Chelsea - Clinton,8.2,12.4,10.2,PM 2.5,365
Annual Average 2019,,307,4,Gramercy Park - Murray Hill,8.6,11.8,10.1,PM 2.5,365
Annual Average 2019,,308,4,Greenwich Village - SoHo,8.8,10.8,9.6,PM 2.5,365
Annual Average 2019,,309,4,Union Square - Lower East Side,7.3,10.6,8.9,PM 2.5,365
Annual Average 2019,,310,4,Lower Manhattan,7.6,9,8.2,PM 2.5,365
Annual Average 2019,,401,4,Long Island City - Astoria,7,9.6,8,PM 2.5,365
Annual Average 2019,,402,4,West Queens,6.4,9.3,7.3,PM 2.5,365
Annual Average 2019,,403,4,Flushing - Clearview,6,7.6,6.6,PM 2.5,365
Annual Average 2019,,404,4,Bayside - Little Neck,5.9,6.6,6.2,PM 2.5,365
Annual Average 2019,,405,4,Ridgewood - Forest Hills,6.1,7,6.6,PM 2.5,365
Annual Average 2019,,406,4,Fresh Meadows,6,6.4,6.2,PM 2.5,365
Annual Average 2019,,407,4,Southwest Queens,5.8,6.5,6.2,PM 2.5,365
Annual Average 2019,,408,4,Jamaica,5.9,6.7,6.2,PM 2.5,365
Annual Average 2019,,409,4,Southeast Queens,5.8,6.3,6,PM 2.5,365
Annual Average 2019,,410,4,Rockaways,5.5,5.7,5.6,PM 2.5,365
Annual Average 2019,,501,4,Port Richmond,6,6.8,6.3,PM 2.5,365
Annual Average 2019,,502,4,Stapleton - St. George,5.7,6.1,5.9,PM 2.5,365
Annual Average 2019,,503,4,Willowbrook,5.7,6.4,6,PM 2.5,365
Annual Average 2019,,504,4,South Beach - Tottenville,5.5,6.1,5.8,PM 2.5,365
Annual Average 2019,,101,3,Kingsbridge - Riverdale,6.4,7.4,6.7,PM 2.5,365
Annual Average 2019,,102,3,Northeast Bronx,6.4,7.1,6.7,PM 2.5,365
Annual Average 2019,,103,3,Fordham - Bronx Pk,6.5,7,6.7,PM 2.5,365
Annual Average 2019,,104,3,Pelham - Throgs Neck,6.2,7.2,6.7,PM 2.5,365
Annual Average 2019,,201,3,Greenpoint,7.4,9.9,8.6,PM 2.5,365
Annual Average 2019,,202,3,Downtown - Heights - Slope,6.8,8.2,7.4,PM 2.5,365
Annual Average 2019,,203,3,Bedford Stuyvesant - Crown Heights,6.2,7.1,6.6,PM 2.5,365
Annual Average 2019,,204,3,East New York,6.2,7,6.6,PM 2.5,365
Annual Average 2019,,205,3,Sunset Park,6.3,8.4,7.3,PM 2.5,365
Annual Average 2019,,206,3,Borough Park,6.1,6.5,6.3,PM 2.5,365
Annual Average 2019,,207,3,East Flatbush - Flatbush,6.1,6.5,6.3,PM 2.5,365
Annual Average 2019,,208,3,Canarsie - Flatlands,5.7,6.9,6.2,PM 2.5,365
Annual Average 2019,,209,3,Bensonhurst - Bay Ridge,5.9,6.6,6.2,PM 2.5,365
Annual Average 2019,,210,3,Coney Island - Sheepshead Bay,5.7,6.3,6,PM 2.5,365
Annual Average 2019,,211,3,Williamsburg - Bushwick,6.3,9.6,7.5,PM 2.5,365
Annual Average 2019,,301,3,Washington Heights,6.7,8.1,7.1,PM 2.5,365
Annual Average 2019,,302,3,Central Harlem - Morningside Heights,6.8,7.2,7,PM 2.5,365
Annual Average 2019,,303,3,East Harlem,6.9,7.4,7.1,PM 2.5,365
Annual Average 2019,,304,3,Upper West Side,7,7.7,7.4,PM 2.5,365
Annual Average 2019,,401,3,Long Island City - Astoria,7,9.6,8,PM 2.5,365
Annual Average 2019,,402,3,West Queens,6.4,9.3,7.3,PM 2.5,365
Annual Average 2019,,403,3,Flushing - Clearview,6,7.6,6.6,PM 2.5,365
Annual Average 2019,,405,3,Ridgewood - Forest Hills,6.1,7,6.6,PM 2.5,365
Annual Average 2019,,407,3,Southwest Queens,5.8,6.5,6.2,PM 2.5,365
Annual Average 2019,,408,3,Jamaica,5.9,6.7,6.2,PM 2.5,365
Annual Average 2019,,409,3,Southeast Queens,5.8,6.3,6,PM 2.5,365
Annual Average 2019,,410,3,Rockaways,5.5,5.7,5.6,PM 2.5,365
Annual Average 2019,,305307,3,Upper East Side-Gramercy,7.6,11.1,9,PM 2.5,365
Annual Average 2019,,306308,3,Chelsea-Village  ,8.4,12,10,PM 2.5,365
Annual Average 2019,,309310,3,Union Square-Lower Manhattan,7.4,10.4,8.7,PM 2.5,365
Annual Average 2019,,404406,3,Bayside Little Neck-Fresh Meadows,5.9,6.5,6.2,PM 2.5,365
Annual Average 2019,,501502,3,Northern SI,5.7,6.5,6,PM 2.5,365
Annual Average 2019,,503504,3,Southern SI,5.5,6.3,5.9,PM 2.5,365
Annual Average 2019,,105106107,3,South Bronx,6.7,8.3,7.3,PM 2.5,365
Annual Average 2019,,1,1,Bronx,6.4,7.6,6.9,PM 2.5,365
Annual Average 2019,,2,1,Brooklyn,5.9,7.8,6.7,PM 2.5,365
Annual Average 2019,,3,1,Manhattan,6.8,10.6,8.3,PM 2.5,365
Annual Average 2019,,4,1,Queens,5.8,7.4,6.5,PM 2.5,365
Annual Average 2019,,5,1,Staten Island,5.5,6.4,5.9,PM 2.5,365
Annual Average 2019,,1,0,New York City,5.7,7.8,6.6,PM 2.5,365
Summer 2019,,101,6,Financial District (CD1),9,10.5,9.7,PM 2.5,365
